date,open,high,low,close,adjclose,volume
"Jan 16, 2026",693.66,694.25,690.10,691.66,691.66,79246300
"Jan 15, 2026",694.57,695.45,691.25,692.24,692.24,77862000
"Jan 14, 2026",691.00,691.72,686.04,690.36,690.36,94676700
"Jan 13, 2026",695.49,696.09,691.35,693.77,693.77,78309700
"Jan 12, 2026",690.68,696.09,690.63,695.16,695.16,63976000
"Jan 9, 2026",690.63,695.31,689.18,694.07,694.07,80125500
"Jan 8, 2026",688.82,690.62,687.49,689.51,689.51,64019200
"Jan 7, 2026",692.19,693.96,689.32,689.58,689.58,75588300
"Jan 6, 2026",687.93,692.32,687.78,691.81,691.81,69273800
"Jan 5, 2026",686.54,689.43,686.38,687.72,687.72,71927200
"Jan 2, 2026",685.71,686.87,679.82,683.17,683.17,89377200
"Dec 31, 2025",687.14,687.36,681.71,681.92,681.92,74144800
"Dec 30, 2025",687.45,688.56,686.58,687.01,687.01,47160700
"Dec 29, 2025",687.54,689.20,686.07,687.85,687.85,62559500
"Dec 26, 2025",690.64,691.66,689.27,690.31,690.31,41613300
"Dec 24, 2025",687.95,690.83,687.80,690.38,690.38,39445600
"Dec 23, 2025",683.92,688.20,683.87,687.96,687.96,64840000
"Dec 22, 2025",683.94,685.36,680.59,684.83,684.83,69556700
"Dec 19, 2025",676.59,681.09,676.47,680.59,680.59,103599500
"Dec 18, 2025",677.60,680.74,674.90,676.47,674.48,108650100
"Dec 17, 2025",679.89,680.44,671.20,671.40,669.42,110625200
"Dec 16, 2025",679.23,681.08,674.98,678.87,676.87,122030600
"Dec 15, 2025",685.74,685.76,679.25,680.73,678.72,90811000
"Dec 12, 2025",688.17,688.88,679.17,681.76,679.75,113160300
"Dec 11, 2025",685.14,689.25,682.17,689.17,687.14,86173700
"Dec 10, 2025",682.56,688.97,681.31,687.57,685.54,85671300
"Dec 9, 2025",683.15,685.39,682.59,683.04,681.03,58310100
"Dec 8, 2025",686.59,686.64,681.57,683.63,681.62,55231500
"Dec 5, 2025",685.47,688.39,684.58,685.69,683.67,79241000
"Dec 4, 2025",685.30,685.37,681.34,684.39,682.37,61970300
"Dec 3, 2025",680.57,684.91,679.69,683.89,681.88,57238500
"Dec 2, 2025",681.92,683.82,679.33,681.53,679.52,62953800
"Dec 1, 2025",678.81,682.99,678.74,680.27,678.27,61201200
"Nov 28, 2025",680.86,683.67,680.50,683.39,681.38,49212000
"Nov 26, 2025",677.63,681.70,676.72,679.68,677.68,71879600
"Nov 25, 2025",668.63,676.21,664.48,675.02,673.03,81077100
"Nov 24, 2025",662.69,670.06,661.59,668.73,666.76,80437900
"Nov 21, 2025",655.05,664.55,650.85,659.03,657.09,123956200
"Nov 20, 2025",672.91,675.56,651.89,652.53,650.61,165293500
"Nov 19, 2025",660.78,667.34,658.75,662.63,660.68,94703000
"Nov 18, 2025",662.10,665.12,655.86,660.08,658.14,114467500
"Nov 17, 2025",669.70,673.71,662.17,665.67,663.71,90456100
"Nov 14, 2025",665.38,675.66,663.27,671.93,669.95,96846700
"Nov 13, 2025",680.50,680.86,670.52,672.04,670.06,103457800
"Nov 12, 2025",684.79,684.96,680.95,683.38,681.37,62312500
"Nov 11, 2025",679.95,683.57,678.73,683.00,680.99,58953400
"Nov 10, 2025",677.24,682.18,675.03,681.44,679.43,75842900
"Nov 7, 2025",667.91,671.08,661.21,670.97,668.99,100592400
"Nov 6, 2025",676.47,677.38,668.72,670.31,668.34,85035300
"Nov 5, 2025",674.98,680.86,674.17,677.58,675.58,74402400
"Nov 4, 2025",676.11,679.96,674.58,675.24,673.25,78427000
"Nov 3, 2025",685.67,685.80,679.94,683.34,681.33,57315000
"Oct 31, 2025",685.04,685.08,679.24,682.06,680.05,87164100
"Oct 30, 2025",683.90,685.94,679.83,679.83,677.83,76335800
"Oct 29, 2025",688.72,689.70,682.87,687.39,685.36,85657100
"Oct 28, 2025",687.05,688.91,684.83,687.06,685.04,61738100
"Oct 27, 2025",682.73,685.54,682.12,685.24,683.22,63339800
"Oct 24, 2025",676.46,678.47,675.65,677.25,675.25,74356500
"Oct 23, 2025",668.12,672.71,667.80,671.76,669.78,65604500
"Oct 22, 2025",672.00,672.00,663.30,667.80,665.83,80564000
"Oct 21, 2025",671.44,672.99,669.98,671.29,669.31,56249000
"Oct 20, 2025",667.32,672.21,667.27,671.30,669.32,60493400
"Oct 17, 2025",659.50,665.76,658.14,664.39,662.43,96500900
"Oct 16, 2025",666.82,668.71,657.11,660.64,658.69,110563300
"Oct 15, 2025",666.82,670.23,658.93,665.17,663.21,81702600
"Oct 14, 2025",657.17,665.83,653.17,662.23,660.28,88779600
"Oct 13, 2025",660.65,665.13,659.77,663.04,661.09,79560500
"Oct 10, 2025",672.13,673.95,652.84,653.02,651.10,159422600
"Oct 9, 2025",673.53,673.94,669.21,671.16,669.18,66501900
"Oct 8, 2025",670.25,673.21,669.42,673.11,671.13,60702200
"Oct 7, 2025",672.54,672.99,667.67,669.12,667.15,72020100
"Oct 6, 2025",671.62,672.51,669.46,671.61,669.63,54623300
"Oct 3, 2025",669.99,672.68,668.16,669.21,667.24,70494400
"Oct 2, 2025",670.45,670.57,666.78,669.22,667.25,56896000
"Oct 1, 2025",663.17,669.37,663.06,668.45,666.48,72545400
"Sep 30, 2025",662.93,666.65,661.61,666.18,664.22,86288000
"Sep 29, 2025",664.36,665.28,661.86,663.68,661.72,73499000
"Sep 26, 2025",659.51,662.37,657.88,661.82,659.87,69179200
"Sep 25, 2025",657.94,659.41,654.41,658.05,656.11,89622100
"Sep 24, 2025",664.51,664.61,659.67,661.10,659.15,68082200
"Sep 23, 2025",666.72,667.34,661.98,663.21,661.26,81708900
"Sep 22, 2025",662.20,667.29,662.17,666.84,664.88,69452200
"Sep 19, 2025",662.33,664.55,660.37,663.70,661.74,97945600
"Sep 18, 2025",661.89,664.89,660.27,662.26,658.48,90459200
"Sep 17, 2025",660.01,661.72,654.30,659.18,655.42,101952200
"Sep 16, 2025",661.47,661.78,659.21,660.00,656.24,61169000
"Sep 15, 2025",659.64,661.04,659.34,660.91,657.14,63772400
"Sep 12, 2025",657.60,659.11,656.90,657.41,653.66,72780100
"Sep 11, 2025",654.18,658.33,653.59,657.63,653.88,69934400
"Sep 10, 2025",653.62,654.55,650.63,652.21,648.49,78034500
"Sep 9, 2025",648.97,650.86,647.22,650.33,646.62,66133900
"Sep 8, 2025",648.62,649.84,647.23,648.83,645.13,63133100
"Sep 5, 2025",651.48,652.21,643.33,647.24,643.55,85178900
"Sep 4, 2025",644.42,649.15,643.51,649.12,645.42,65219200
"Sep 3, 2025",642.67,644.21,640.46,643.74,640.07,70820900
"Sep 2, 2025",637.50,640.49,634.92,640.27,636.62,81983500
"Aug 29, 2025",647.47,647.84,643.14,645.05,641.37,74522200
"Aug 28, 2025",647.24,649.48,645.34,648.92,645.22,61519500
"Aug 27, 2025",644.57,647.37,644.42,646.63,642.94,48341100
"Aug 26, 2025",642.20,645.51,641.57,645.16,641.48,51581600
"Aug 25, 2025",644.04,645.29,642.35,642.47,638.81,51274300
"Aug 22, 2025",637.76,646.50,637.25,645.31,641.63,84083200
"Aug 21, 2025",636.28,637.97,633.81,635.55,631.93,54805800
"Aug 20, 2025",639.40,639.66,632.95,638.11,634.47,88890300
"Aug 19, 2025",643.12,644.11,638.48,639.81,636.16,69750700
"Aug 18, 2025",642.86,644.00,642.18,643.30,639.63,43804900
"Aug 15, 2025",645.99,646.09,642.52,643.44,639.77,68592500
"Aug 14, 2025",642.79,645.62,642.34,644.95,641.27,59327500
"Aug 13, 2025",644.91,646.19,642.68,644.89,641.21,60092800
"Aug 12, 2025",638.29,642.85,636.79,642.69,639.02,64730800
"Aug 11, 2025",637.46,638.95,634.66,635.92,632.29,58742300
"Aug 8, 2025",634.06,637.65,633.74,637.18,633.55,64051600
"Aug 7, 2025",636.24,636.98,629.11,632.25,628.64,74205800
"Aug 6, 2025",629.05,633.44,628.13,632.78,629.17,64357500
"Aug 5, 2025",631.79,632.61,627.04,627.97,624.39,68051400
"Aug 4, 2025",625.67,631.22,625.58,631.17,627.57,73218000
"Aug 1, 2025",626.30,626.34,619.29,621.72,618.17,140103600
"Jul 31, 2025",639.46,639.85,630.77,632.08,628.48,103385200
"Jul 30, 2025",635.92,637.68,631.54,634.46,630.84,80418900
"Jul 29, 2025",638.35,638.67,634.34,635.26,631.64,60556300
"Jul 28, 2025",637.48,638.04,635.54,636.94,633.31,54917100
"Jul 25, 2025",635.09,637.58,634.84,637.10,633.47,56865400
"Jul 24, 2025",634.60,636.15,633.99,634.42,630.80,71307100
"Jul 23, 2025",631.55,634.21,629.73,634.21,630.59,70511000
"Jul 22, 2025",629.10,629.73,626.19,628.86,625.27,60046300
"Jul 21, 2025",628.77,631.54,628.34,628.77,625.18,63375000
"Jul 18, 2025",629.30,629.47,626.46,627.58,624.00,65621600
"Jul 17, 2025",624.40,628.40,624.18,628.04,624.46,68885700
"Jul 16, 2025",623.74,624.73,618.05,624.22,620.66,88987500
"Jul 15, 2025",627.52,627.86,622.06,622.14,618.59,74317300
"Jul 14, 2025",623.16,625.16,621.80,624.81,621.25,51898500
"Jul 11, 2025",622.74,624.86,621.53,623.62,620.06,63670200
"Jul 10, 2025",624.20,626.87,623.01,625.82,622.25,57529000
"Jul 9, 2025",622.77,624.72,620.91,624.06,620.50,66113300
"Jul 8, 2025",621.35,622.11,619.52,620.34,616.80,59024600
"Jul 7, 2025",623.36,624.03,617.87,620.68,617.14,74814500
"Jul 3, 2025",622.45,626.28,622.43,625.34,621.77,51065800
"Jul 2, 2025",617.24,620.49,616.61,620.45,616.91,66510400
"Jul 1, 2025",616.36,618.83,615.52,617.65,614.13,70030100
"Jun 30, 2025",617.38,619.22,615.04,617.85,614.33,92502500
"Jun 27, 2025",612.88,616.39,610.83,614.91,611.40,86258400
"Jun 26, 2025",608.99,612.31,608.37,611.87,608.38,78548400
"Jun 25, 2025",607.91,608.61,605.54,607.12,603.66,62114800
"Jun 24, 2025",604.33,607.85,603.41,606.78,603.32,67735300
"Jun 23, 2025",595.04,600.54,591.89,600.15,596.73,87426000
"Jun 20, 2025",598.38,599.46,592.86,594.28,590.89,94051400
"Jun 18, 2025",598.44,601.22,596.47,597.44,592.28,76605000
"Jun 17, 2025",600.21,601.75,596.76,597.53,592.37,82209400
"Jun 16, 2025",600.40,604.45,600.22,602.68,597.48,79984100
"Jun 13, 2025",598.50,601.85,595.48,597.00,591.85,89506000
"Jun 12, 2025",600.01,603.75,599.52,603.75,598.54,64129000
"Jun 11, 2025",604.19,605.06,599.27,601.36,596.17,73658200
"Jun 10, 2025",600.22,603.47,599.09,603.08,597.87,66247000
"Jun 9, 2025",599.72,601.25,598.49,599.68,594.50,53016400
"Jun 6, 2025",598.66,600.83,596.86,599.14,593.97,66588700
"Jun 5, 2025",597.63,599.00,591.05,593.05,587.93,92278700
"Jun 4, 2025",596.96,597.95,595.49,595.93,590.78,57314200
"Jun 3, 2025",592.34,597.08,591.85,596.09,590.94,63606200
"Jun 2, 2025",587.76,592.79,585.06,592.71,587.59,61630500
"May 30, 2025",588.93,591.13,583.24,589.39,584.30,90601200
"May 29, 2025",593.06,593.20,586.07,590.05,584.96,69973300
"May 28, 2025",591.56,592.77,586.99,587.73,582.66,68445500
"May 27, 2025",586.07,591.31,578.43,591.15,586.05,72588500
"May 23, 2025",575.98,581.81,575.60,579.11,574.11,76029000
"May 22, 2025",582.66,586.62,581.41,583.09,578.06,70860400
"May 21, 2025",588.44,592.58,581.82,582.86,577.83,95197700
"May 20, 2025",593.09,594.05,589.60,592.85,587.73,60614500
"May 19, 2025",588.10,595.54,588.10,594.85,589.71,68168500
"May 16, 2025",591.25,594.50,589.28,594.20,589.07,76052100
"May 15, 2025",585.56,590.97,585.10,590.46,585.36,71268100
"May 14, 2025",587.81,588.98,585.54,587.59,582.52,66283500
"May 13, 2025",583.41,589.08,582.84,586.84,581.77,67947200
"May 12, 2025",581.47,583.00,577.04,582.99,577.96,78993600
"May 9, 2025",566.48,567.50,562.76,564.34,559.47,37603400
"May 8, 2025",565.24,570.31,561.70,565.06,560.18,65130800
"May 7, 2025",560.15,563.82,556.04,561.15,556.31,55588000
"May 6, 2025",557.93,563.35,556.96,558.80,553.98,48264700
"May 5, 2025",562.57,566.65,561.70,563.51,558.64,38659200
"May 2, 2025",564.73,568.38,562.38,566.76,561.87,60717300
"May 1, 2025",560.37,564.07,557.86,558.47,553.65,63186100
"Apr 30, 2025",547.57,556.52,541.52,554.54,549.75,93101500
"Apr 29, 2025",548.91,555.45,548.55,554.32,549.53,47775100
"Apr 28, 2025",551.39,553.55,545.02,550.85,546.09,47613800
"Apr 25, 2025",546.65,551.05,543.69,550.64,545.89,61119600
"Apr 24, 2025",536.72,547.43,535.45,546.69,541.97,64150400
"Apr 23, 2025",540.43,545.43,533.88,535.42,530.80,90590700
"Apr 22, 2025",520.14,529.30,519.19,527.25,522.70,75948100
"Apr 21, 2025",521.16,521.70,508.46,513.88,509.44,69368100
"Apr 17, 2025",527.64,531.17,523.91,526.41,521.87,79868100
"Apr 16, 2025",531.68,537.89,520.29,525.66,521.12,83484800
"Apr 15, 2025",539.67,543.23,536.81,537.61,532.97,56892900
"Apr 14, 2025",544.05,544.28,533.86,539.12,534.47,68034000
"Apr 11, 2025",523.01,536.43,520.07,533.94,529.33,97866300
"Apr 10, 2025",532.17,533.50,509.32,524.58,520.05,162331200
"Apr 9, 2025",493.44,548.62,493.05,548.62,543.88,241867300
"Apr 8, 2025",521.86,524.98,489.16,496.48,492.19,165816600
"Apr 7, 2025",489.19,523.17,481.80,504.38,500.03,256611400
"Apr 4, 2025",523.67,525.87,505.06,505.28,500.92,217965100
"Apr 3, 2025",545.11,547.97,536.70,536.70,532.07,125986000
"Apr 2, 2025",555.05,567.42,554.81,564.52,559.65,76014500
"Apr 1, 2025",557.45,562.94,553.68,560.97,556.13,54609600
"Mar 31, 2025",549.83,560.71,546.87,559.39,554.56,95328200
"Mar 28, 2025",565.53,566.27,555.07,555.66,550.86,71662700
"Mar 27, 2025",567.18,570.90,564.94,567.08,562.18,42164200
"Mar 26, 2025",575.19,576.33,567.19,568.59,563.68,51848300
"Mar 25, 2025",575.30,576.41,573.69,575.46,570.49,38355700
"Mar 24, 2025",570.80,575.15,570.20,574.08,569.12,58766800
"Mar 21, 2025",559.28,564.89,558.03,563.98,559.11,83763000
"Mar 20, 2025",563.33,570.57,562.60,565.49,558.93,62958200
"Mar 19, 2025",562.83,570.95,561.63,567.13,560.55,66556000
"Mar 18, 2025",564.80,565.02,559.06,561.02,554.51,66041400
"Mar 17, 2025",562.79,569.71,562.35,567.15,560.57,49008700
"Mar 14, 2025",556.11,563.83,551.49,562.81,556.28,62660300
"Mar 13, 2025",558.49,559.11,549.68,551.42,545.02,74079400
"Mar 12, 2025",562.17,563.11,553.69,558.87,552.38,69588200
"Mar 11, 2025",559.40,564.02,552.02,555.92,549.47,88102100
"Mar 10, 2025",567.59,569.54,555.59,560.58,554.07,99326600
"Mar 7, 2025",570.90,577.39,565.63,575.92,569.24,81158800
"Mar 6, 2025",575.48,580.17,570.12,572.71,566.06,80094900
"Mar 5, 2025",576.69,584.88,573.08,583.06,576.29,71230500
"Mar 4, 2025",579.71,585.39,572.25,576.86,570.16,109648200
"Mar 3, 2025",596.18,597.34,579.90,583.77,576.99,74249200
"Feb 28, 2025",585.56,594.72,582.44,594.18,587.28,88744100
"Feb 27, 2025",596.85,598.02,584.65,585.05,578.26,74196700
"Feb 26, 2025",595.93,599.58,591.86,594.54,587.64,43321600
"Feb 25, 2025",597.15,597.89,589.56,594.24,587.34,58266500
"Feb 24, 2025",602.02,603.03,596.49,597.21,590.28,50737200
"Feb 21, 2025",610.16,610.30,599.47,599.94,592.98,76519800
"Feb 20, 2025",611.54,611.68,607.02,610.38,603.30,36554000
"Feb 19, 2025",610.08,613.23,609.56,612.93,605.82,31011100
"Feb 18, 2025",610.88,611.49,608.38,611.49,604.39,26749000
"Feb 14, 2025",609.94,610.99,609.07,609.70,602.62,26910400
"Feb 13, 2025",604.48,609.94,603.20,609.73,602.65,40921300
"Feb 12, 2025",599.20,604.55,598.51,603.36,596.36,45076100
"Feb 11, 2025",602.55,605.86,602.43,605.31,598.28,30056700
"Feb 10, 2025",604.03,605.50,602.74,604.85,597.83,26048700
"Feb 7, 2025",606.89,608.13,600.05,600.77,593.80,50788500
"Feb 6, 2025",605.99,606.45,602.63,606.32,599.28,35771500
"Feb 5, 2025",600.64,604.37,598.58,604.22,597.21,30653100
"Feb 4, 2025",597.83,602.30,597.28,601.78,594.80,33457800
"Feb 3, 2025",592.67,600.29,590.49,597.77,590.83,65857200
"Jan 31, 2025",607.50,609.96,601.05,601.82,594.83,66566900
"Jan 30, 2025",603.96,606.60,600.72,605.04,598.02,39281300
"Jan 29, 2025",603.72,604.13,599.22,601.81,594.82,37177400
"Jan 28, 2025",600.62,605.37,597.25,604.52,597.50,44433300
"Jan 27, 2025",594.81,599.69,594.64,599.37,592.41,70361100
"Jan 24, 2025",609.81,610.78,606.80,607.97,600.91,34604700
"Jan 23, 2025",605.80,609.75,605.52,609.75,602.67,41152100
"Jan 22, 2025",605.92,607.82,605.36,606.44,599.40,48196000
"Jan 21, 2025",600.67,603.06,598.67,603.05,596.05,42532900
"Jan 17, 2025",596.96,599.36,595.61,597.58,590.64,58070600
"Jan 16, 2025",594.17,594.35,590.93,591.64,584.77,43319700
"Jan 15, 2025",590.33,593.94,589.20,592.78,585.90,56900200
"Jan 14, 2025",584.36,585.00,578.35,582.19,575.43,48420600
"Jan 13, 2025",575.77,581.75,575.35,581.39,574.64,47910100
"Jan 10, 2025",585.88,585.95,578.55,580.49,573.75,73105000
"Jan 8, 2025",588.70,590.58,585.20,589.49,582.65,47304700
"Jan 7, 2025",597.42,597.75,586.78,588.63,581.80,60393100
"Jan 6, 2025",596.27,599.70,593.60,595.36,588.45,47679400
"Jan 3, 2025",587.53,592.60,586.43,591.95,585.08,37888500
"Jan 2, 2025",589.39,591.13,580.50,584.64,577.85,50204000
"Dec 31, 2024",589.91,590.64,584.42,586.08,579.28,57052700
"Dec 30, 2024",587.89,591.74,584.41,588.22,581.39,56578800
"Dec 27, 2024",597.54,597.78,590.76,595.01,588.10,64969300
"Dec 26, 2024",599.50,602.48,598.08,601.34,594.36,41219100
"Dec 24, 2024",596.06,601.34,595.47,601.30,594.32,33160100
"Dec 23, 2024",590.89,595.30,587.66,594.69,587.79,57635800
"Dec 20, 2024",581.77,595.75,580.91,591.15,584.29,125716700
"Dec 19, 2024",591.36,593.00,585.85,586.10,577.35,85919500
"Dec 18, 2024",603.98,606.41,585.89,586.28,577.53,108248700
"Dec 17, 2024",604.19,605.17,602.89,604.29,595.27,55773500
"Dec 16, 2024",606.00,607.78,605.21,606.79,597.74,43695200
"Dec 13, 2024",606.40,607.13,602.81,604.21,595.19,35904700
"Dec 12, 2024",606.58,607.16,604.33,604.33,595.31,31543800
"Dec 11, 2024",605.78,608.43,605.50,607.46,598.40,28677700
"Dec 10, 2024",605.37,605.80,602.13,602.80,593.80,37234500
"Dec 9, 2024",607.69,607.86,604.08,604.68,595.66,34742700
"Dec 6, 2024",607.44,609.07,607.02,607.81,598.74,31241500
"Dec 5, 2024",607.66,608.48,606.30,606.66,597.61,28762200
"Dec 4, 2024",605.63,607.91,604.95,607.66,598.59,42787600
"Dec 3, 2024",603.39,604.16,602.34,603.91,594.90,26906600
"Dec 2, 2024",602.97,604.32,602.47,603.63,594.62,31746000
"Nov 29, 2024",599.66,603.35,599.38,602.55,593.56,30177400
"Nov 27, 2024",600.46,600.85,597.28,598.83,589.89,34000200
"Nov 26, 2024",598.80,601.33,598.07,600.65,591.69,45621300
"Nov 25, 2024",599.52,600.86,595.20,597.53,588.61,42441400
"Nov 22, 2024",593.66,596.15,593.15,595.51,586.62,38226400
"Nov 21, 2024",593.40,595.12,587.45,593.67,584.81,46750300
"Nov 20, 2024",590.38,590.79,584.63,590.50,581.69,50032600
"Nov 19, 2024",584.71,591.04,584.03,590.30,581.49,49412000
"Nov 18, 2024",586.22,589.49,585.34,588.15,579.37,37001700
"Nov 15, 2024",589.72,590.20,583.86,585.75,577.01,75988800
"Nov 14, 2024",597.32,597.81,592.65,593.35,584.50,38904100
"Nov 13, 2024",597.37,599.23,594.96,597.19,588.28,47388600
"Nov 12, 2024",598.68,599.29,594.37,596.90,587.99,43006100
"Nov 11, 2024",599.81,600.17,597.00,598.76,589.83,37586800
"Nov 8, 2024",596.17,599.64,596.17,598.19,589.26,46444900
"Nov 7, 2024",593.08,596.65,593.00,595.61,586.72,47233200
"Nov 6, 2024",589.20,591.93,585.39,591.04,582.22,68182000
"Nov 5, 2024",570.74,576.74,570.52,576.70,568.09,39478300
"Nov 4, 2024",571.18,572.50,567.89,569.81,561.31,38217000
"Nov 1, 2024",571.32,575.55,570.62,571.04,562.52,45667500
"Oct 31, 2024",575.56,575.63,568.44,568.64,560.15,60182500
"Oct 30, 2024",581.29,583.32,579.29,580.01,571.35,41435800
"Oct 29, 2024",579.85,582.91,578.43,581.77,573.09,42899700
"Oct 28, 2024",582.58,582.71,580.52,580.83,572.16,30174700
"Oct 25, 2024",581.51,584.46,578.08,579.04,570.40,47268200
"Oct 24, 2024",579.98,580.06,576.57,579.24,570.60,34979900
"Oct 23, 2024",581.26,581.71,574.42,577.99,569.36,49314600
"Oct 22, 2024",581.05,584.50,580.38,583.32,574.62,34183800
"Oct 21, 2024",583.85,584.85,580.60,583.63,574.92,36439000
"Oct 18, 2024",584.07,585.39,582.58,584.59,575.87,37416800
"Oct 17, 2024",585.91,586.12,582.16,582.35,573.66,34393700
